transaction_id,datetime,hour,day_of_week,city,upi_app,category,amount,new_device,multiple_failed_attempts,location_mismatch,odd_hour_txn,is_fraud,fraud_type,risk_score,transaction_status
TXN000001,2024-04-05 03:00:00,3,Friday,Pune,Paytm,Shopping,5406,1,0,0,1,0,None,20,Successful
TXN000002,2024-11-22 08:00:00,8,Friday,Mumbai,PhonePe,Shopping,3323,0,0,0,0,0,None,2,Successful
TXN000003,2024-07-20 08:00:00,8,Saturday,Bangalore,PhonePe,Bill Payment,170801,0,0,0,0,0,None,12,Successful
TXN000004,2024-01-07 23:00:00,23,Sunday,Bangalore,PhonePe,Shopping,1105,0,1,0,1,0,None,25,Successful
TXN000005,2024-08-06 05:00:00,5,Tuesday,Delhi,Paytm,Recharge,9212,0,0,0,1,0,None,10,Successful
TXN000006,2024-12-14 12:00:00,12,Saturday,Delhi,GPay,Recharge,12707,0,0,0,0,0,None,2,Successful
TXN000007,2024-04-29 19:00:00,19,Monday,Hyderabad,GPay,Money Transfer,3351,1,0,0,0,0,None,12,Successful
TXN000008,2024-05-23 14:00:00,14,Thursday,Kolkata,GPay,Money Transfer,5590,0,0,0,0,0,None,2,Successful
TXN000009,2024-08-24 22:00:00,22,Saturday,Hyderabad,PhonePe,Travel,11031,0,0,1,1,0,None,22,Successful
TXN000010,2024-06-28 06:00:00,6,Friday,Mumbai,PhonePe,Entertainment,4776,0,0,0,0,0,None,2,Successful
TXN000011,2024-11-23 19:00:00,19,Saturday,Mumbai,PhonePe,Shopping,13576,0,0,0,0,0,None,2,Successful
TXN000012,2024-04-06 01:00:00,1,Saturday,Kolkata,GPay,Recharge,14363,0,0,0,1,0,None,10,Successful
TXN000013,2024-03-10 06:00:00,6,Sunday,Ahmedabad,GPay,Entertainment,8054,0,0,1,0,0,None,13,Successful
TXN000014,2024-09-05 17:00:00,17,Thursday,Ahmedabad,Paytm,Food & Dining,11968,0,0,0,0,0,None,2,Successful
TXN000015,2024-02-28 09:00:00,9,Wednesday,Mumbai,GPay,Recharge,3690,1,0,0,0,0,None,12,Successful
TXN000016,2024-03-21 20:00:00,20,Thursday,Pune,GPay,Shopping,14926,0,0,0,0,0,None,2,Successful
TXN000017,2024-09-01 05:00:00,5,Sunday,Pune,BHIM,Recharge,14699,0,0,0,1,0,None,10,Successful
TXN000018,2024-01-30 00:00:00,0,Tuesday,Bangalore,Paytm,Recharge,5667,0,0,0,1,0,None,10,Successful
TXN000019,2024-09-25 08:00:00,8,Wednesday,Chennai,PhonePe,Recharge,2546,0,0,1,0,0,None,13,Successful
TXN000020,2024-04-06 01:00:00,1,Saturday,Hyderabad,PhonePe,Travel,120875,1,0,0,1,0,None,30,Successful
TXN000021,2024-01-21 10:00:00,10,Sunday,Hyderabad,Paytm,Recharge,7120,0,0,0,0,0,None,2,Successful
TXN000022,2024-07-18 14:00:00,14,Thursday,Chennai,Paytm,Bill Payment,8495,0,0,0,0,0,None,2,Successful
TXN000023,2024-03-01 19:00:00,19,Friday,Pune,GPay,Food & Dining,6085,0,0,0,0,0,None,2,Successful
TXN000024,2024-11-07 11:00:00,11,Thursday,Delhi,Paytm,Entertainment,4519,0,0,1,0,0,None,13,Successful
TXN000025,2024-04-22 00:00:00,0,Monday,Mumbai,PhonePe,Shopping,88491,0,0,0,1,0,None,20,Successful
TXN000026,2024-06-18 04:00:00,4,Tuesday,Bangalore,Paytm,Bill Payment,13464,1,0,0,1,0,None,20,Successful
TXN000027,2024-08-08 08:00:00,8,Thursday,Delhi,PhonePe,Entertainment,13670,0,1,0,0,1,Unauthorized Transfer,17,Fraudulent
TXN000028,2024-04-28 21:00:00,21,Sunday,Ahmedabad,PhonePe,Shopping,5972,0,1,0,0,1,Account Takeover,17,Fraudulent
TXN000029,2024-02-12 19:00:00,19,Monday,Mumbai,Amazon Pay,Shopping,6853,0,0,1,0,0,None,13,Successful
TXN000030,2024-10-15 18:00:00,18,Tuesday,Delhi,Paytm,Food & Dining,2727,0,0,0,0,0,None,2,Successful
TXN000031,2024-12-27 12:00:00,12,Friday,Delhi,GPay,Money Transfer,11358,1,0,0,0,0,None,12,Successful
TXN000032,2024-03-11 06:00:00,6,Monday,Mumbai,GPay,Money Transfer,10197,0,0,0,0,0,None,2,Successful
TXN000033,2024-06-24 05:00:00,5,Monday,Pune,PhonePe,Money Transfer,3662,0,0,0,1,0,None,10,Successful
